id,artist,title,medium,support,height_in,width_in,height_cm,width_cm,year,artwork_url
AQ-0001,Anisa Quraishi,Minaret,,paper,,,,,,https://artelle.xyz/work/aq-0001.html
AQ-0002,Anisa Quraishi,Rosewalk,Watercolour,paper,16.0,10.0,40.64,25.4,2026,https://artelle.xyz/work/aq-0002.html
AQ-0003,Anisa Quraishi,Apricot Duet,Pastel,paper,11.0,8.0,27.94,20.32,2026,https://artelle.xyz/work/aq-0003.html
AQ-0004,Anisa Quraishi,Bani Gala Winter,Watercolour and pastel,paper,10.0,16.0,25.4,40.64,2026,https://artelle.xyz/work/aq-0004.html
AQ-0005,Anisa Quraishi,Emberwing,Pastel,paper,16.0,10.0,40.64,25.4,2026,https://artelle.xyz/work/aq-0005.html
AQ-0006,Anisa Quraishi,Blush,Watercolour,paper,16.0,10.0,40.64,25.4,2017,https://artelle.xyz/work/aq-0006.html
AQ-0007,Anisa Quraishi,Earthen Light,,paper,,,,,2017,https://artelle.xyz/work/aq-0007.html
AQ-0008,Anisa Quraishi,Scarlet Chorus,Watercolour,paper,16.0,10.0,40.64,25.4,2017,https://artelle.xyz/work/aq-0008.html
AQ-0009,Anisa Quraishi,Solitary Rose,Watercolour,paper,16.0,10.0,40.64,25.4,2017,https://artelle.xyz/work/aq-0009.html
AQ-0010,Anisa Quraishi,Orchard Table,Watercolour,paper,10.0,16.0,25.4,40.64,2017,https://artelle.xyz/work/aq-0010.html
AQ-0011,Anisa Quraishi,Quiet Glass,Watercolour,paper,16.0,10.0,40.64,25.4,2017,https://artelle.xyz/work/aq-0011.html
AQ-0012,Anisa Quraishi,Painted Earth,Watercolour,paper,10.0,16.0,25.4,40.64,2017,https://artelle.xyz/work/aq-0012.html
AQ-0013,Anisa Quraishi,Kitchen Harvest,,paper,,,,,2017,https://artelle.xyz/work/aq-0013.html
AQ-0014,Anisa Quraishi,Summer Flourish,Watercolour,paper,10.0,16.0,25.4,40.64,2017,https://artelle.xyz/work/aq-0014.html
AQ-0015,Anisa Quraishi,Before Bloom,Watercolour,paper,,,,,2017,https://artelle.xyz/work/aq-0015.html
AQ-0016,Anisa Quraishi,Turning Leaves,Watercolour,paper,,,,,2017,https://artelle.xyz/work/aq-0016.html
AQ-0017,Anisa Quraishi,Small Beginnings,Watercolour,paper,,,,,2017,https://artelle.xyz/work/aq-0017.html
AQ-0018,Anisa Quraishi,Stillness in Gold,Pastel,paper,16.0,10.0,40.64,25.4,2026,https://artelle.xyz/work/aq-0018.html
AQ-0019,Anisa Quraishi,Window Bouquet,Pastel,paper,16.0,10.0,40.64,25.4,2026,https://artelle.xyz/work/aq-0019.html
AQ-0020,Anisa Quraishi,Prism,,paper,,,,,,https://artelle.xyz/work/aq-0020.html
AQ-0021,Anisa Quraishi,Blue Hours,Pastel,paper,16.0,10.0,40.64,25.4,2019,https://artelle.xyz/work/aq-0021.html
AQ-0022,Anisa Quraishi,Verdant Orbits,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0022.html
AQ-0023,Anisa Quraishi,Tidal Moons,Pastel,paper,16.0,10.0,40.64,25.4,2019,https://artelle.xyz/work/aq-0023.html
AQ-0024,Anisa Quraishi,Verdure,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0024.html
AQ-0025,Anisa Quraishi,Rose Facets,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0025.html
AQ-0026,Anisa Quraishi,Umber,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0026.html
AQ-0027,Anisa Quraishi,Solar,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0027.html
AQ-0028,Anisa Quraishi,Daybreak,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0028.html
AQ-0029,Anisa Quraishi,Carmine,Pastel,paper,10.5,8.5,26.67,21.59,,https://artelle.xyz/work/aq-0029.html
AQ-0030,Anisa Quraishi,Undertow,Pastel,paper,9.0,12.0,22.86,30.48,2018,https://artelle.xyz/work/aq-0030.html
AQ-0031,Anisa Quraishi,Gathering,Pastel,paper,13.0,10.5,33.02,26.67,2018,https://artelle.xyz/work/aq-0031.html
AQ-0032,Anisa Quraishi,Ochre Interlude,Pastel,paper,13.0,10.5,33.02,26.67,2018,https://artelle.xyz/work/aq-0032.html
AQ-0033,Anisa Quraishi,Flight,Pastel,paper,10.5,13.0,26.67,33.02,2018,https://artelle.xyz/work/aq-0033.html
AQ-0034,Anisa Quraishi,Red Reverie,Mixed media,paper,10.5,8.5,26.67,21.59,2019,https://artelle.xyz/work/aq-0034.html
